,tweets
1925,"1% of the FBI tried to take down a duly elected Potus with lies, corruption and abuse of power and that can’t happen either. Look at what that did to this country for over 3 years.  The media mob advanced these lies and conspiracy theories. I told the truth..."
1926,"... 749 innocent cops are now injured, and some have been killed and this cannot continue. 

Then I said at least 6 times on the show tonight, that there is NO comparison, and nothing comparable but we have to end other abuses of power by dirty cops.."
1927,"...and can never happen again. 
When an innocent man dies needlessly there is NOTHING comparable to that as I said. The video of the death of George Floyd is repulsive and has rightly shocked the conscience of the entire country And look at the consequences..."
1928,We all know the damage dirty cops can cause the country as a whole. The Fact is as I have been saying every single day. The horrific Actions of 1 officer &amp; the inaction of 3 officers resulted in the death of an innocent man (fellow American) and this should never have happened..
1929,To me It’s Amazing that when I say over and over and over and specifically “there is no comparison” that the lying media says that I did make a comparison...
1930,".@JonahDispatch  I know we have political disagreements, and I can respect that completely, you are an extremely intelligent writer/commentator. I am making a number of points here that you and a few others seem to be conflating..."
1931,McCONNELL to DEMS: Why Are ‘Protests Permissible’ but ‘Prayer Still Too Dangerous?’ https://t.co/zUVZrpiGMH
1932,"Chicago Mayor Tells Local Leader He’s ‘100% FULL OF S***’ After Reporting Looting, Violence https://t.co/78RRwqKPjS"
1933,REPORT: LAPD Probing Lawyer Who Urged People to ‘Kill Police Officers’ Then Offered ‘Free Representation’ https://t.co/TbBeqeh7q2
1934,MPLS Pres Says ‘We Don’t Have All the Answers’ if ‘Criminals Start Shooting People’ https://t.co/mlwxhn0Xcm
1935,McCONNELL to DEMS: Why Are ‘Protests Permissible’ but ‘Prayer Still Too Dangerous?’ https://t.co/tDgE3Yxvck
1936,AS HEARD ON RADIO: Byrna Non-Lethal Self Defense https://t.co/yiwNwzYyll
1937,"BUSTED! Chicago Mayor Tells Local Leader He’s ‘100% FULL OF S***’ After Reporting Looting, Violence https://t.co/0sG1XXgk2S"
1938,"SEE YA! MPLS Manufacturer Announces Plan to Leave the City, ‘They Don’t Care About My Business’ https://t.co/mEiqI2Xfxl"
1939,"‘GOD BLESS YOU!’ Union President Delivers Incredible Message to NYPD, Never ‘Apologize for the Shield!’ https://t.co/Zcc1jHePhm"
1940,US DOJ Tells Britain to ‘Hand Over’ Prince Andrew in Epstein Probe https://t.co/HEyhRF8jkW
1941,"REPORT: Suspected Killer of David Dorn Previously Sentenced to 7 Years in Prison, Never Served 1 Day https://t.co/NtlH524EJP"
1942,"TAPES LEAK: Call Between Chicago Leaders Shows Chaos, ‘This is a S*** Show! They’re Shooting at Police’ https://t.co/k2tl11Cotr"
1943,GOOD QUESTION: MPLS Pres Says ‘We Don’t Have All the Answers’ if ‘Criminals Start Shooting People’ https://t.co/QjqlnwSvut
1944,REPORT: LA Council Pres Slashing Police Budget Had ‘Personal LAPD Detail’ Outside Home for 3 Months https://t.co/HhAS8j2pMN
1945,CRAZYTOWN: MPLS Council Pres Says Goal is a ‘Police-Free Future’ Where Nobody Commits Any Crime https://t.co/pTE70kxgti
1946,NYC SPIRALS: 7 People Shot in 10 MINUTES in Separate Brooklyn Shootings https://t.co/c9VRrIA0m8
1947,"‘DEADLIEST DAY’: Chicago Witnesses Worst Murder Toll in 60 YEARS, 18 Killed in 24 Hours https://t.co/kQV1HG8OVh"
1948,DA Declines to Prosecute Accomplice in NY's St. Pat’s Cathedral Vandalism https://t.co/KLLigIi1Gf
1949,"ANTIFA EXPOSED! We Want the ‘Complete Abolition of the System, Including Police!’ https://t.co/U2gttiKrfF"
1950,"Buffalo Teen Spends 10 Hours Cleaning Community After Protests, Receives FULL RIDE Scholarship 👇 https://t.co/iFpgJnhfpF"
1951,THIS IS REAL: MPLS Council Pres Says People Whose ‘Homes Broken Into’ Must Acknowledge ‘Place of Privilege’ https://t.co/AvEEB7H19a
1952,"MN Mayor Jacob Frey Booed, Kicked Off Stage at BLM Rally After Standing Up Against ‘Defund Police’ Protesters https://t.co/wIK5mOxpwl"
1953,CARSON: ‘You Want to Abolish Police Departments? Are You Kidding Me?’ https://t.co/nCJMr6scz7
1954,GEORGIA STATE TROOPER to PROTESTERS: ‘I Only Kneel for One Person’ https://t.co/DCwSxu39sU
1955,"AOC’S PLEA: People Should Be ‘Willing to Sacrifice Everything,’ All ‘Privileges’ to Defund Police https://t.co/AWUwaAXo41"
1956,"AOC CALLED-OUT: Kayleigh McEnany EDUCATES Ocasio-Cortez, ‘Read the Transcript Congresswoman’ https://t.co/CAcVl5agQi"
1957,CARSON: ‘You Want to Abolish Police Departments? Are You Kidding Me?’ https://t.co/k8EvqpHqkp
1958,‘THIS IS NUTS’: Cruz Says ‘Lunatics’ Now Think It’s a ‘Sign of Privilege Not to Want Your Home Broken Into’ https://t.co/HresWEfy5T
1959,"MN Mayor Jacob Frey Booed, Kicked Off Stage at BLM Rally After Standing Up Against ‘Defund Police’ Protesters https://t.co/LlhTfEzY0o"
1960,"HANNITY NOW: Growing calls to defund the police despite shocking levels of violence in cities. Plus: Live breaking news from across America. Guests @AliceMarieFree, @LarryElder, @TheLeoTerrell, @GeraldoRivera, @BernardKerik, @AriFleischer &amp; @SenTomCotton. Tune in!"
1961,GEORGIA STATE TROOPER to PROTESTERS: ‘I Only Kneel for One Person’ https://t.co/jsIwMdj3Sn
1962,"McEnany EDUCATES Ocasio-Cortez, ‘Read the Transcript Congresswoman’ https://t.co/H9jSsw3GGq"
1963,EXPOSED: Sen. Cotton Calls NY Times’ Newsroom An Angry ‘Mob of Woke Children’ Living in ‘Mao’s China’ https://t.co/f31MuigUsa
1964,Bail Set at $1.25 Million For Cop Who Killed George Floyd https://t.co/LgdBeczUdD
1965,"AOC CALLED-OUT: Kayleigh McEnany EDUCATES Ocasio-Cortez, ‘Read the Transcript Congresswoman’ https://t.co/vHSvfBzZUV"
1966,"SCHUMER: ‘Democrats Will Not Let This Go Away,’ Racism Impacting ‘Housing, Healthcare, Education, Jobs’ https://t.co/lgyzNDaU0G"
1967,‘THIS IS NUTS’: Cruz Says ‘Lunatics’ Now Think It’s a ‘Sign of Privilege Not to Want Your Home Broken Into’ https://t.co/BwNBgrKvmL
1968,"AOC’S PLEA: People Should Be ‘Willing to Sacrifice Everything,’ All ‘Privileges’ to Defund Police https://t.co/tSeo5YSWLp"
1969,FANTASYLAND: Minneapolis Council President Says She ‘Imagines a Future Without Police’ https://t.co/2PoimNMQ3N
1970,"DEVELOPING: Country’s Top Democrats -Including Pelosi, Schumer- ‘Take a Knee’ Inside US Capitol https://t.co/axvY3pognI"
1971,GEORGIA STATE TROOPER to PROTESTERS: ‘I Only Kneel for One Person’ https://t.co/ey2wuENMsm
1972,CARSON: ‘You Want to Abolish Police Departments? Are You Kidding Me?’ https://t.co/vRp069uFMC
1973,THIS IS REAL: MPLS Council Pres Says People Whose ‘Homes Broken Into’ Must Acknowledge ‘Place of Privilege’ https://t.co/Q20VXhMeVp
1974,"MN Mayor Jacob Frey Booed, Kicked Off Stage at BLM Rally After Standing Up Against ‘Defund Police’ Protesters https://t.co/vgunAfIbuu"
1975,DE BLASIO CAVES: The Mayor Announces Plan to ‘Move Resources from the NYPD’ to ‘Social Services’ https://t.co/rdFVXBPTdH
1976,OMAR UNLEASHED: ‘Minneapolis Police Department is Rotten to the Root! Must be Completely Dismantled!’ https://t.co/2gY7CaEog0
1977,‘DEFUNDED’: Minneapolis City Council Promises to ‘Dismantle The Police Department’ https://t.co/WBLQAuaMfK
1978,Rioters Vandalized Monument to Black Civil War Regiment https://t.co/4c2QOHcX3v
1979,Giuliani RIPS de Blasio 👇 https://t.co/GlqJhFmgCR
1980,"Schumer: Americans Should Avoid ‘Victory Lap,’ 2.5 MILLION New Jobs Not ‘Joyous or Stupendous!’ https://t.co/2huAmWVxSb"
1981,"ANTIFA EXPOSED: Undercover Footage Reveals Vicious Far-Left Tactics, ‘Practice Things Like an Eye Gouge’ https://t.co/7nz7wXapzd"
1982,"More than 400,000 Residents Flee NYC Due to Virus, Taxes, Protests, Shutdown https://t.co/cg99A513jw"
1983,Poll Says 54% Of Americans Believe Burning Down Police Precinct is Justified https://t.co/WnUWWL2ROP
1984,MSNBC Hires Russia Hoax Plotter Lisa Page https://t.co/9CfCBS2yFO
1985,British Prime Minister ‘No Choice’ But to Offer Citizenship to Almost 3 Million Hong Kong Citizens https://t.co/5UchXodWPK
1986,"More than 400,000 Residents Flee NYC Due to Virus, Taxes, Protests, Shutdown https://t.co/kj9svBhvAy"
1987,"OMAR: Minneapolis Police Department ‘Beyond Reform, It’s Time to Disband Them!’ https://t.co/ScpCQDtfXO"
1988,REPORT: Antifa Plotted ‘Anti-Government Insurgency’ As Early as November 2019 https://t.co/tshmYB2zCF
1989,"GIULIANI on DE BLASIO: ‘The Mayor Should Step Down, He’s Incompetent’ https://t.co/ZOaGm5ROWr"
1990,"NY TIMES REPORTER: ‘Destroying Property, Which Can Be Replaced, Is Not Violence’ https://t.co/enxUVgxRCy"
1991,Obamagate: Obama Must Testify https://t.co/zEM28UyahJ
1992,African American Female Wins GOP Primary in Maryland For Rep. Elijah Cummings’ District https://t.co/u1fmrUyKVm
1993,SEN. KENNEDY: ‘I Don’t See De Blasio Carrying His Happy A** Down There and Trying to Protect People!’ https://t.co/czvGlIctP6
1994,"WATCH: De Blasio Says He’s ‘Proud’ of Daughter’s Arrest, ‘Admires’ She Was ‘Out There Doing Something’ https://t.co/u3F1xHMFAd"
1995,REPORT: Former Obama Official Pays $250K Bail for Woman Who Allegedly Hurled Molotov Cocktail at NYPD https://t.co/ZN2Rxo8bkJ
1996,FANCY NANCY: Pelosi Joins Anti-Police Protesters in DC While Demanding ‘Proxy Voting’ During Pandemic https://t.co/xNS8RYJHT7
1997,"FALLING APART: De Blasio Criticizes Cop For Drawing Pistol, FULL Video Shows Officer Nearly Killed by Brick https://t.co/p9uc8dzYwV"
1998,"ANTIFA EXPOSED: Undercover Footage Reveals Vicious Far-Left Tactics, ‘Practice Things Like an Eye Gouge’ https://t.co/8ilfZWs27W"
1999,‘The Obama-Biden Administration Has Been Caught Red-Handed’ on Unmasking https://t.co/UBIfVlsx9O
2000,TRUE COLORS: Former Hillary Press Secretary Says America Must ‘Defund the Police’ https://t.co/lPuvFBp6uJ
2001,DEVELOPING: MSNBC Hires Russia Hoax Plotter Lisa Page https://t.co/b8Pr9cVSs5
2002,Nearly Three Dozen Subpoenas Approved for Obama Administration Officials https://t.co/k08JB74TIk
2003,"BOOM! Record 2.5 Million Jobs Added in May, Trump Signs Bill to Ease PPP Restrictions https://t.co/vAQzcKAJ7f"
2004,"NOT WELCOME? Utah National Guard Booted from DC Hotel, Mayor Says There Was a ‘Budget Issue’ https://t.co/iPtp5Yr3Iu"
2005,"Dow jumps 850 points, Nasdaq hits a record after surprise U.S. jobs surge https://t.co/GSb4SiG4TX"
2006,"NOT WELCOME? Utah National Guard Booted from DC Hotel, Mayor Says There Was a ‘Budget Issue’ https://t.co/PDDLUWhIIb"
2007,"NY TIMES STUNS RESIDENTS: Editorial Board Says ‘Open Your Eyes, The POLICE Are Out of Control’ https://t.co/xIK2d2oKi2"
2008,Russia Hoax: Nearly Three Dozen Subpoenas Approved for Obama Administration Officials https://t.co/LHjSLG4SlH
2009,DE BLASIO SPIRALS: Embattled Mayor Says Spike in CoVID Hospitalizations Has Nothing to do With Protests https://t.co/tJkxACI614
2010,THAT SETTLES IT! Whitmer Team Says Gov Didn’t Violate Her Own Order Because She Has ‘Right to Protest’ https://t.co/xcLJZCZ6AQ
2011,DEVELOPING: DC Mayor Unveils ‘Black Lives Matter Plaza’ In Front of the White House https://t.co/HpfQrKXluQ
2012,"NEGATIVE NANCY: Pelosi Says ’21 Million Still Out of Work, Budgets Collapsing,’ Now ‘Worst Moment’ https://t.co/Az85xDyH03"
2013,"WHOOPS! Washington Post Publishes Phony ‘Grim Milestone’ Tweet, Says Unemployment Rate ‘Nears 20%’ https://t.co/ylmRqDDZTG"
2014,"ILHAN OMAR: Minneapolis Police Department ‘Beyond Reform, It’s Time to Disband Them!’ https://t.co/6kaIpMuC2Y"
2015,"AMERICA UNLEASHED: Dow Jones SURGES 1,000 Points After Biggest Job Increase in US HISTORY https://t.co/3Yhim78COO"
2016,"MIRACLE IN MAY: Biggest Employment Jump in HISTORY, 2.5M New Jobs, Experts Predicted 8M LOSS https://t.co/rOXqkL2IuH"
2017,"SAD SCHUMER! Americans Should Avoid ‘Victory Lap,’ 2.5 MILLION New Jobs Not ‘Joyous or Stupendous!’ https://t.co/xmThhl5lFa"
2018,REMEMBER: 1 Month Ago a Dallas Salon Owner Was Fined $7K and Sent to Jail for Re-Opening Her Business https://t.co/rdPKbHFiWw
2019,"GIULIANI: ‘De Blasio is a BUM, Useless, Horrible, Something Mentally Wrong with Him’ https://t.co/JeyxdHoXy9"
2020,REPORT: Minnesota Officials Estimate $55 MILLION in Property Damage Following George Floyd Protests https://t.co/SPfytrpybG
2021,British Prime Minister ‘No Choice’ But to Offer Citizenship to Almost 3 Million Hong Kong Citizens https://t.co/S69YL57gjT
2022,"ESCAPE FROM NY: More than 400,000 Residents Flee NYC Due to Virus, Taxes, Protests, Shutdown https://t.co/n7yDgsZLU3"
2023,"NEVER MIND: Michigan Gov Gretchen ‘Lockdown’ Whitmer Joins Protesters, Chants ‘Hands Up, Don’t Shoot!’ https://t.co/mk88O5fuWP"
2024,"NEVER MIND: Michigan Gov Gretchen ‘Lockdown’ Whitmer Joins Protesters, Chants ‘Hands Up, Don’t Shoot!’ https://t.co/wFiiOalxEJ"
2025,Kanye West Set Up College Fund For Floyd’s 6-Year-Old Daughter https://t.co/UXWUNx8D4Z
2026,Medical Journal Retracts Study that Found Hydroxychloroquine ‘Dangerous for CoVID Patients’ https://t.co/sW3WDAXtKk
2027,Former Hillary Press Secretary Under Fire for Demanding US ‘Defund the Police’ https://t.co/qT2RL9bq1W
2028,African American Female Wins GOP Primary in Maryland For Rep. Elijah Cummings’ District https://t.co/4dH84Mthl1
2029,"NYC Construction Workers Use Excavator to Save Gucci Handbags, Other Valuable Items From Looters https://t.co/ijIBXdp1N5"
2030,New York Times Staff Revolts at Cotton Op-Ed https://t.co/OUtzGCmFww
2031,"ANTIFA EXPOSED: Undercover Footage Reveals Vicious Far-Left Tactics, ‘Practice Things Like an Eye Gouge’ https://t.co/urhrF3Mrnh"
2032,‘Most’ Arrested Protesters Immediately Released Due to NY Bail Reform Law https://t.co/ktGs7739DQ
2033,REPORT: Former Obama Official Pays $250K Bail for Woman Who Allegedly Hurled Molotov Cocktail at NYPD https://t.co/MyFN9ROp5H
2034,Former Hillary Press Secretary Under Fire for Demanding US ‘Defund the Police’ https://t.co/oBoJVvSbNO
2035,African American Female Wins GOP Primary in Maryland For Rep. Elijah Cummings’ District https://t.co/CxFQKADq0V
2036,"‘GET A JOB!’ Bronx Business Owner EDUCATES Looters, ‘You Needed Money! Stop Stealing!’ https://t.co/O6KbeLgdiV"
2037,"EMBARRASSING: De Blasio Booed During Entire Memorial Speech, Organizers Beg for ‘Respect’ https://t.co/t4eItJPfa1"
2038,BREAKING NOW: Medical Journal Retracts Study that Found Hydroxychloroquine ‘Dangerous for CoVID Patients’ https://t.co/HOjzauC4sv
2039,"‘GO HOME!’: De Blasio Booed by Massive Crowd, Host Begs for ‘Respect,’ Wife Screams ‘Power to the People!’ https://t.co/oGctwrn4JT"
2040,"Construction workers found the bags, filled with Gucci handbags, believed to be worth hundreds of thousands of dollars. https://t.co/HlAec5AClH"
2041,‘MAJOR BACKLASH’: Former Hillary Press Secretary Under Fire for Demanding US ‘Defund the Police’ https://t.co/lwBg2nLV11
2042,BREAKING: Attorney General Says DOJ Has Evidence Antifa ‘Hijacking’ George Floyd Protests https://t.co/S1gY5jnlOb
2043,GRAHAM on HANNITY: ‘The Same People Who Lied to the FISA Court Set-Up The Mueller Investigation’ https://t.co/oN2crNCS72
2044,TRUE COLORS: Former Hillary Press Secretary Says America Must ‘Defund the Police’ https://t.co/JhPPrHktCw
2045,"HANNITY: Will Our Leaders Seek Justice for the Victims of Mob Violence, Looting, Riots? https://t.co/rhTYhIhVBv"
2046,‘THERE WILL BE CUTS’: LA Mayor Announces $250M in Budget Cuts -Including LAPD- to Be Used on ‘Healing’ https://t.co/c7Uj7DEKBp
2047,REPORT: Former Obama Official Pays $250K Bail for Woman Who Allegedly Hurled Molotov Cocktail at NYPD https://t.co/0BQdLhSacQ
2048,"NY TIMES: Forget the Protesters, ‘Corrosive Effects of Tear Gas Could Intensify Coronavirus Pandemic’ https://t.co/ojuNtG2516"
2049,REPORT: Antifa Plotted ‘Anti-Government Insurgency’ As Early as November 2019 https://t.co/D1eY0gHRoA
2050,"DE BLASIO SPIRALS: 2 NYPD Shot, 1 Stabbed, Mayor Says Protests Remind Him of John Lennon’s ‘Imagine’ https://t.co/oFUnRiS9me"
2051,"ANTIFA EXPOSED: Undercover Footage Reveals Vicious Far-Left Tactics, ‘Practice Things Like an Eye Gouge’ https://t.co/QiZogs6w2D"
2052,Most won’t even need to post bail. That’ll teach them to disobey the law. https://t.co/nMdru0081v
2053,SEN. KENNEDY: ‘I Don’t See De Blasio Carrying His Happy A** Down There and Trying to Protect People!’ https://t.co/cPTYDZnbQq
2054,BILL’S GREATEST HITS: Watch De Blasio Praise ‘Peaceful Protesters’ as They Destroy New York City https://t.co/rIVaEjkkla
2055,Rosenstein Testifies To Congress: ‘I Would Not’ Have Signed FISA Warrant https://t.co/yEAveh73ak
2056,FANCY NANCY: Pelosi Joins Anti-Police Protesters in DC While Demanding ‘Proxy Voting’ During Pandemic https://t.co/lnBR3U64Bq
2057,Watch De Blasio Praise ‘Peaceful Protesters’ as They Destroy New York City https://t.co/uIF18sMyhW
2058,FANCY NANCY: Pelosi Joins Anti-Police Protesters in DC While Demanding ‘Proxy Voting’ During Pandemic https://t.co/6jfSU4wOIy
2059,BILL’S GREATEST HITS: Watch De Blasio Praise ‘Peaceful Protesters’ as They Destroy New York City https://t.co/GeU99BfB70
2060,"BREAKING NOW: Minneapolis Officer’s Murder Charge UPGRADED, 3 Others Charged in Killing of George Floyd https://t.co/dXqMREYSuL"
2061,NYPD Union Boss: ‘Our Hands Are Being Tied’ Asks Trump To ‘Send Federal Personnel’ https://t.co/YW4sDyG1ek
2062,"CRUZ MISSILE: Ted Torches Rosenstein, Says Either ‘Complicit’ in FISA Abuse or ‘Grossly Negligent’ https://t.co/Fl3ZThT9dw"
2063,Rosenstein Testifies To Congress: ‘I Would Not’ Have Signed FISA Warrant https://t.co/nu0OPEOhuJ
2064,SEN. KENNEDY: ‘I Don’t See De Blasio Carrying His Happy A** Down There and Trying to Protect People!’ https://t.co/jKqBjtuD9a
2065,REPORT: Elizabeth Warren and Her Dog Join Anti-Police Protesters Outside White House https://t.co/UUbkXypd76
2066,ROD’S ADMISSION: Rosenstein Says -In Retrospect- He Would Not Have Approved FISA Warrant Applications https://t.co/8UeN2crcIe
2067,"TRUMP on CUOMO, DE BLASIO: ‘If They Don’t Get Their Act Straightened Out, I Will Solve It’ https://t.co/yfwuXaDNcK"
2068,"DE BLASIO: Protesters Can Defy Lockdown Because of ‘400 Years of Racism,’ Not the Case for ‘Religious People’ https://t.co/0nazOPLn5S"
2069,"NYC COUNCILMAN: Blame ‘Racism, NYPD’ Not PROTESTERS If There is a ‘Spike in Coronavirus Cases’ https://t.co/ZR8ziU2qG4"
2070,"DE BLASIO’S NYC: Looters Smash Stores in Manhattan, Flee in $500,000 Rolls Royce Before Cops Arrive https://t.co/ZgYkycOriz"
2071,THIS IS CNN: Don Lemon Says USA Witnessing ‘Insurrection’ Because ‘People Get Tired if No One Listens’ https://t.co/8tsbscpyqu
2072,"NY TIMES REPORTER: ‘Destroying Property, Which Can Be Replaced, Is Not Violence’ https://t.co/RIJJNlPBnI"
2073,"NYC SPIRALS: Stores Wrapped in Razor Wire, NYPD Remove 2,000 Trash Cans, Crowd Chants ‘De Blasio Resign!’ https://t.co/XzyDkp09bi"
2074,CITIES SPIRAL: Seattle Councilmember Wonders Why ‘Looting Bothers People’ When ‘People Die Everyday’ https://t.co/wR9D5AklsH
2075,Nadler’s House Judiciary Democrats Change Official Account Bio to ‘Black Lives Matter’ https://t.co/sTelPTmy3K
2076,Debra Messing: Holding a Bible is “A Dog Whistle to Nazis” https://t.co/ckzlRaJXq6
2077,"GIULIANI on DE BLASIO: ‘The Mayor Should Step Down, He’s Incompetent’ https://t.co/wmnRjXNHHg"
2078,"NYT Changes Trump Headline After Pressure from AOC, Top Democrats https://t.co/PH0BYRHxVD"
2079,Italian Doctor On COVID-19 Frontlines: ‘Virus Clinically No Longer Exists’ https://t.co/sW2Bqnu0in
2080,"1619 Project Founder: “Destroying Property…Is Not Violence,” Looting is “Symbolic” https://t.co/b5QA5k9Yl5"
2081,"1619 Project Founder: “Destroying Property…Is Not Violence,” Looting is “Symbolic” https://t.co/a1tjSk5pGE"
2082,"NY Times Changes Trump Headline After Pressure from AOC, Top Democrats https://t.co/273VaOUWXS"
2083,"De Blasio Criticizes Cop For Drawing Pistol, FULL Video Shows Officer Nearly Killed by Brick https://t.co/ThVGeDKpXb"
2084,"Cuomo Threatens to ‘Displace’ De Blasio, Says He ‘Would Take Over the Mayor’s Job’ https://t.co/UD9boSjNzH"
2085,World Health Organization Pleads To Maintain Relationship With ‘Generous’ U.S. https://t.co/qkd5G4ns00
2086,WATCH: Ami Horowitz Goes to the ‘Epicenter’ of Protests to Speak with Demonstrators https://t.co/eMMPA46tJx
2087,Debra Messing: Holding a Bible is “A Dog Whistle to Nazis” https://t.co/TeoM7mjKma
2088,"REPORT: AirBNB Gives $500K to ‘Black Lives Matter,’ NAACP After Firing 1,900 Workers During Pandemic https://t.co/V9gIm7PUvJ"
2089,REPORT: Rep. Gohmert Files Legal Brief Supporting ‘Dismissal’ of DOJ Case Against General Flynn https://t.co/IBhB4f466B
2090,"NYC SPIRALS: Giuliani Asks Cuomo to ‘Remove De Blasio,’ Says Mayor Preventing NYPD from Stopping Riots https://t.co/hUui8xdD7C"
2091,DEVELOPING: Nadler’s House Judiciary Democrats Change Official Account Bio to ‘Black Lives Matter’ https://t.co/4OJcRMk1lF
2092,CAPITAL CHAOS: DC Mayor Says She Was ‘OUTRAGED’ When Law Enforcement ‘Moved Out’ Protesters https://t.co/mypd2UwHzi
2093,"CAUGHT RED HANDED: NY Times Changes Trump Headline After Pressure from AOC, Top Democrats https://t.co/ywrcXf1tEE"
2094,HANNITY: The Chaos in America Needs to END NOW https://t.co/MQ0kSUjV1N
2095,"FALLING APART: Cuomo Threatens to ‘Displace’ De Blasio, Says He ‘Would Take Over the Mayor’s Job’ https://t.co/R8XbvQRJYQ"
2096,CITIES SPIRAL: Seattle Councilmember Wonders Why ‘Looting Bothers People’ When ‘People Die Everyday’ https://t.co/2MBGaptMfH
2097,"TRUMP to NEW YORKERS: ‘Call Up the National Guard, Lowlifes and Losers are RIPPING YOU APART’ https://t.co/j2lSR2nJx1"
2098,"FALLING APART: De Blasio Criticizes Cop For Drawing Pistol, FULL Video Shows Officer Nearly Killed by Brick https://t.co/sRQxGsog2T"
2099,"TRUMP ON RIOTS: ‘I Swore an Oath to Uphold the Laws of Our Nation, That is Exactly What I Will Do’ https://t.co/YCN5SZHxRd"
2100,"CITIES SPIRAL: 2 Police Officers Shot in Las Vegas, 4 in St. Louis, NYPD Cop Victim of ‘Hit and Run’ https://t.co/ZYuUKpwwV9"
2101,"GIULIANI on DE BLASIO: ‘The Mayor Should Step Down, He’s Incompetent’ https://t.co/UkkxEVzMrm"
2102,"MORE CHAOS in NYC: Rioters Clash with Police, Hundreds of Looters Strike Manhattan, Bronx, Brooklyn https://t.co/FgYZJV6QnO"
2103,False Social Media Coverage of Protests Provoking ‘The Racial Flame’ https://t.co/TN5GPf7P6q
2104,MLB Players Union Protect Their Millions Despite COVID-19 https://t.co/fPEQzVbEGO
2105,TRUMP SAYS ‘ENOUGH’: President Rips Biden Staffers for ‘Getting Anarchists Out of Jail’ During Riots https://t.co/NxLFd0agn1
2106,"WATCH: De Blasio Says He’s ‘Proud’ of Daughter’s Arrest, ‘Admires’ She Was ‘Out There Doing Something’ https://t.co/m3FXnvwUDD"
2107,BIDEN on VP PICK: ‘When I Decided to Decide.. When I Made the Decision.. Jill and I… I Made the Decision’ https://t.co/4zDqCz1Dwz
2108,DEMOCRAT SENATOR: ‘Trump is SC*M for Fueling Racist Hate and Violence in Our Country’ https://t.co/sxzSy97zDx
2109,"BACKLASH: NYPD Union Blasts De Blasio, Says Mayor’s Daughter an ‘Object-Throwing Rioting Anarchist’ https://t.co/SpuOEKkKU1"
2110,"George Floyd’s Brother Condemns Violence: ‘Brother Was About Peace,’ Destruction ‘Not The Way He’d Want’ https://t.co/MeWo6rVeHC"
2111,"MICHIGAN UNLEASHED: Gov Whitmer Lifts ‘Stay at Home’ Order, Restaurants and Bars to Open June 8th https://t.co/eBPKI1Yju1"
2112,DEMOCRAT SENATOR: ‘Trump is SC*M for Fueling Racist Hate and Violence in Our Country’ https://t.co/w9rxLZOUg7
2113,"REPORT: Rioters Hijacked Chicago Police Radio Communications, Slowed Response Time During Looting https://t.co/hVv45Rqctd"
2114,"George Floyd’s Brother Condemns Violence: ‘Brother Was About Peace,’ Destruction ‘Not The Way He’d Want’ https://t.co/sISWD3eVkw"
2115,BIDEN on VP PICK: ‘When I Decided to Decide.. When I Made the Decision.. Jill and I… I Made the Decision’ https://t.co/iKZu5Q4EuI
2116,"BACKLASH: NYPD Union Blasts De Blasio, Says Mayor’s Daughter an ‘Object-Throwing Rioting Anarchist’ https://t.co/Fum8elwYV5"
2117,CONSPIRACY TV: CNN’s Blitzer Suggests Riots a Result of ‘Foreign Interference’ to ‘Embarrass the US’ https://t.co/sBDr2OuT0V
2118,"CAPITAL CURFEW: DC Mayor Announces 7PM Curfew After Night of Violence, Riots Outside White House https://t.co/ITVtQXE86m"
2119,"WATCH: De Blasio Says He’s ‘Proud’ of Daughter’s Arrest, ‘Admires’ She Was ‘Out There Doing Something’ https://t.co/Oc49zprB93"
2120,TRUMP SAYS ‘ENOUGH’: President Rips Biden Staffers for ‘Getting Anarchists Out of Jail’ During Riots https://t.co/bQmV0Zpjdo
2121,"BIG APPLE BREAKDOWN: Bill De Blasio’s Daughter, 25, Arrested During Manhattan Protest for Blocking Traffic https://t.co/m05SOw1G1W"
2122,"KREMLIN CONNECTION? Susan Rice Suggests RUSSIA Behind Violent Protests, Looting Nationwide https://t.co/JR7Ed86cSC"
2123,"CHAOS NYC: Rioters Loot Manhattan Stores, De Blasio Describes Situation as ‘Limited Protest Activity’ https://t.co/edNkC97Jnu"
2124,"CHAOS DC: 50 Secret Service Members Injured, Riots Outside White House, Trump Rushed to Bunker https://t.co/tyugH4DX6C"
2125,Rod Rosenstein must be grilled by senators Wednesday about his abuse of power https://t.co/wMbXdKBnGo
2126,New Studies Suggest Higher Percentage of Positive People Show No Symptoms of COVID-19 https://t.co/qx29agUJCs
2127,Cuomo Makes Sharing Illegal Immigrant Driver Information Between Law Enforcement Class E Felony https://t.co/yauy3zNNtB
2128,Democratic Governors and mayors are pathetic. Clearly the .@POTUS  will again have to do their jobs. It’s beyond any comprehension I have that these Governors are incapable of protecting innocent people and property.
2129,"CNN Van Jones Says ‘It’s the White, Liberal Hillary Clinton Supporter’ Not KKK That Post Threat to African Americans https://t.co/sSGDea8gkA"
2130,Democratic mayors and Governors are failing to protect innocent citizens and businesses from violence. You need to protect innocent people NOW. That is your responsibility. This is an #epicfail. Call @RudyGiuliani  and @BernardKerik for guidance.
2131,Obamagate: Obama Must Testify https://t.co/0FYfmYv74a
2132,REPORT: FBI Documents ‘Put Barack Obama’ Inside the ‘Obamagate Narrative’ https://t.co/ebs1XtJn0u
2133,Kayleigh McEnany is Right: Where are the Journalists? https://t.co/kFRKw5fqXr
